timestamp,site_id,latitude,longitude,accel_mag_g,ambient_temperature_c,status,alert_triggered,alert_low_activity,alert_geofence,alert_flee
2022-01-01 00:00:00,herd_cattle_A,-32.779706,26.840216,0.97,16.3,normal,0,0,0,0
2022-01-01 00:15:00,herd_cattle_A,-32.779679,26.84023,0.971,17.97,normal,0,0,0,0
2022-01-01 00:30:00,herd_cattle_A,-32.779746,26.840187,1.031,13.45,normal,0,0,0,0
2022-01-01 00:45:00,herd_cattle_A,-32.77978,26.840232,0.888,14.72,normal,0,0,0,0
2022-01-01 01:00:00,herd_cattle_A,-32.779806,26.840291,0.985,11.71,normal,0,0,0,0
2022-01-01 01:15:00,herd_cattle_A,-32.779833,26.84031,0.917,15.44,normal,0,0,0,0
2022-01-01 01:30:00,herd_cattle_A,-32.779818,26.840283,0.999,14.93,normal,0,0,0,0
2022-01-01 01:45:00,herd_cattle_A,-32.779838,26.840277,1.029,17.24,normal,0,0,0,0
2022-01-01 02:00:00,herd_cattle_A,-32.77994,26.840227,0.966,14.62,normal,0,0,0,0
2022-01-01 02:15:00,herd_cattle_A,-32.779932,26.840123,0.97,13.7,normal,0,0,0,0
2022-01-01 02:30:00,herd_cattle_A,-32.77994,26.84012,0.921,12.95,normal,0,0,0,0
2022-01-01 02:45:00,herd_cattle_A,-32.779962,26.840124,0.944,15.26,normal,0,0,0,0
2022-01-01 03:00:00,herd_cattle_A,-32.780016,26.840068,0.958,15.32,normal,0,0,0,0
2022-01-01 03:15:00,herd_cattle_A,-32.780064,26.840106,0.963,15.19,normal,0,0,0,0
2022-01-01 03:30:00,herd_cattle_A,-32.780045,26.840188,1.096,13.45,normal,0,0,0,0
2022-01-01 03:45:00,herd_cattle_A,-32.780089,26.840201,1.073,15.23,normal,0,0,0,0
2022-01-01 04:00:00,herd_cattle_A,,26.840103,0.944,15.41,normal,0,0,0,0
2022-01-01 04:15:00,herd_cattle_A,-32.780038,26.840048,1.095,14.08,normal,0,0,0,0
2022-01-01 04:30:00,herd_cattle_A,-32.780003,26.839981,0.946,14.62,normal,0,0,0,0
2022-01-01 04:45:00,herd_cattle_A,-32.779943,26.839997,0.899,13.05,normal,0,0,0,0
2022-01-01 05:00:00,herd_cattle_A,-32.779821,26.840091,0.943,16.13,normal,0,0,0,0
2022-01-01 05:15:00,herd_cattle_A,-32.779951,26.839971,0.936,13.54,normal,0,0,0,0
2022-01-01 05:30:00,herd_cattle_A,-32.779957,26.84001,0.931,17.1,normal,0,0,0,0
2022-01-01 05:45:00,herd_cattle_A,-32.779863,26.839996,0.998,16.86,normal,0,0,0,0
2022-01-01 06:00:00,herd_cattle_A,-32.779691,26.840277,1.457,15.92,normal,0,0,0,0
2022-01-01 06:15:00,herd_cattle_A,-32.779483,26.840881,1.429,19.77,normal,0,0,0,0
2022-01-01 06:30:00,herd_cattle_A,-32.779576,26.841043,2.096,20.22,normal,0,0,0,0
