timestamp,site_id,soil_moisture_vwc,soil_ph,soil_ec_uS_cm,air_temperature_c,relative_humidity_pct,pressure_hPa,light_lux,status,alert_triggered,stress_moisture,stress_ph,stress_salinity,stress_critical,wx_rain_mm_hr
2022-01-01 00:00:00,site_riverside,0.339,5.98,292.7,14.63,99.4,952.7,0.0,normal,0,0,0,0,0,0.5
2022-01-01 00:15:00,site_riverside,0.296,5.88,357.7,14.55,95.7,954.1,0.0,normal,0,0,0,0,0,0.485
2022-01-01 00:30:00,site_riverside,0.331,5.95,342.4,16.2,97.9,953.2,0.0,normal,0,0,0,0,0,0.47
2022-01-01 00:45:00,site_riverside,0.343,5.85,275.9,14.51,98.2,952.5,0.0,normal,0,0,0,0,0,0.455
2022-01-01 01:00:00,site_riverside,0.323,5.81,333.6,15.37,96.6,952.6,132.0,normal,0,0,0,0,0,0.44
2022-01-01 01:15:00,site_riverside,0.335,6.0,374.1,13.94,100.0,952.8,0.0,normal,0,0,0,0,0,0.413
2022-01-01 01:30:00,site_riverside,0.332,5.98,300.7,13.74,99.7,952.8,20.0,normal,0,0,0,0,0,0.385
2022-01-01 01:45:00,site_riverside,0.318,5.9,308.1,14.12,98.8,952.3,565.0,normal,0,0,0,0,0,0.358
2022-01-01 02:00:00,site_riverside,0.329,5.98,429.8,14.54,100.0,952.6,0.0,normal,0,0,0,0,0,0.33
2022-01-01 02:15:00,site_riverside,0.345,5.92,324.3,13.48,100.0,952.2,2.0,normal,0,0,0,0,0,0.295
2022-01-01 02:30:00,site_riverside,0.352,5.9,301.7,14.09,97.1,951.7,184.0,normal,0,0,0,0,0,0.26
2022-01-01 02:45:00,site_riverside,0.34,5.95,317.7,14.51,98.3,951.8,7.0,normal,0,0,0,0,0,0.225
2022-01-01 03:00:00,site_riverside,0.304,5.91,374.6,14.53,97.4,952.6,0.0,normal,0,0,0,0,0,0.19
2022-01-01 03:15:00,site_riverside,0.331,5.96,261.8,13.69,98.3,951.5,67.0,normal,0,0,0,0,0,0.17
2022-01-01 03:30:00,site_riverside,0.337,6.08,286.7,13.77,100.0,951.1,0.0,normal,0,0,0,0,0,0.15
2022-01-01 03:45:00,site_riverside,0.33,5.93,323.6,13.75,98.7,950.7,138.0,normal,0,0,0,0,0,0.13
2022-01-01 04:00:00,site_riverside,0.34,5.84,339.8,14.05,99.3,951.3,244.0,normal,0,0,0,0,0,0.11
2022-01-01 04:15:00,site_riverside,0.343,5.94,347.3,13.88,91.0,950.8,1049.0,normal,0,0,0,0,0,0.098
2022-01-01 04:30:00,site_riverside,0.342,5.9,308.9,14.3,91.7,951.5,1776.0,normal,0,0,0,0,0,0.085
2022-01-01 04:45:00,site_riverside,0.334,5.98,416.3,14.55,95.2,951.1,2939.0,normal,0,0,0,0,0,0.072
2022-01-01 05:00:00,site_riverside,0.322,6.08,329.6,15.25,91.3,950.5,3513.0,normal,0,0,0,0,0,0.06
2022-01-01 05:15:00,site_riverside,0.346,6.01,320.7,16.17,93.5,950.9,9572.0,normal,0,0,0,0,0,0.048
2022-01-01 05:30:00,site_riverside,0.337,6.01,335.8,15.73,85.4,951.7,14833.0,normal,0,0,0,0,0,0.035
2022-01-01 05:45:00,site_riverside,0.311,5.86,357.9,17.45,83.0,951.5,20203.0,normal,0,0,0,0,0,0.022
2022-01-01 06:00:00,site_riverside,0.328,5.9,376.6,18.23,82.4,952.1,25983.0,normal,0,0,0,0,0,0.01
2022-01-01 06:15:00,site_riverside,0.368,5.98,350.5,17.69,79.3,952.2,32622.0,normal,0,0,0,0,0,0.01
2022-01-01 06:30:00,site_riverside,0.357,5.91,225.1,18.81,79.3,952.3,38956.0,normal,0,0,0,0,0,0.01
2022-01-01 06:45:00,site_riverside,0.342,6.05,402.6,19.57,72.0,952.9,45095.0,normal,0,0,0,0,0,0.01
2022-01-01 07:00:00,site_riverside,0.325,5.99,268.3,20.34,76.5,952.7,51665.0,normal,0,0,0,0,0,0.01
2022-01-01 07:15:00,site_riverside,0.33,5.96,369.9,19.94,73.9,953.5,58312.0,normal,0,0,0,0,0,0.012
2022-01-01 07:30:00,site_riverside,0.361,5.89,313.6,21.57,75.4,953.5,64219.0,normal,0,0,0,0,0,0.015
2022-01-01 07:45:00,site_riverside,0.332,5.99,317.5,21.87,71.7,953.4,70702.0,normal,0,0,0,0,0,0.018
2022-01-01 08:00:00,site_riverside,0.356,6.04,294.0,22.18,68.2,954.1,77114.0,normal,0,0,0,0,0,0.02
2022-01-01 08:15:00,site_riverside,0.303,5.91,273.9,21.73,70.2,954.1,82512.0,normal,0,0,0,0,0,0.025
2022-01-01 08:30:00,site_riverside,0.365,5.86,300.0,23.4,66.2,954.2,88715.0,normal,0,0,0,0,0,0.03
2022-01-01 08:45:00,site_riverside,0.324,5.92,,21.82,71.1,954.3,94073.0,normal,0,0,0,0,0,0.035
2022-01-01 09:00:00,site_riverside,0.323,5.87,284.8,22.77,69.7,954.0,100278.0,normal,0,0,0,0,0,0.04
2022-01-01 09:15:00,site_riverside,0.332,5.91,348.3,24.35,65.4,954.2,103767.0,normal,0,0,0,0,0,0.08
2022-01-01 09:30:00,site_riverside,0.341,5.97,351.8,23.01,59.3,954.3,108627.0,normal,0,0,0,0,0,0.12
2022-01-01 09:45:00,site_riverside,0.331,5.96,321.8,24.53,67.1,954.6,112594.0,normal,0,0,0,0,0,0.16
2022-01-01 10:00:00,site_riverside,0.352,5.97,277.2,24.53,62.4,954.5,117716.0,normal,0,0,0,0,0,0.2
2022-01-01 10:15:00,site_riverside,0.336,6.01,333.0,24.65,57.4,953.2,120022.0,normal,0,0,0,0,0,0.368
2022-01-01 10:30:00,site_riverside,0.319,,312.8,24.14,60.4,955.2,121755.0,normal,0,0,0,0,0,0.535
2022-01-01 10:45:00,site_riverside,0.335,5.89,326.3,24.8,58.6,954.8,124258.0,normal,0,0,0,0,0,0.702
2022-01-01 11:00:00,site_riverside,0.341,5.97,280.4,24.31,58.5,954.4,126367.0,normal,0,0,0,0,0,0.87
2022-01-01 11:15:00,site_riverside,0.357,5.98,359.2,26.3,56.3,954.7,127261.0,normal,0,0,0,0,0,0.995
2022-01-01 11:30:00,site_riverside,0.341,5.85,339.6,25.01,60.3,954.8,128076.0,normal,0,0,0,0,0,1.12
2022-01-01 11:45:00,site_riverside,0.382,5.96,242.8,26.01,56.3,954.4,128697.0,normal,0,0,0,0,0,1.245
2022-01-01 12:00:00,site_riverside,0.349,6.02,349.7,26.31,57.9,954.4,129476.0,normal,0,0,0,0,0,1.37
2022-01-01 12:15:00,site_riverside,0.381,5.91,319.3,25.36,54.6,954.7,126160.0,normal,0,0,0,0,0,1.528
2022-01-01 12:30:00,site_riverside,0.377,5.92,335.0,,58.6,954.3,123841.0,normal,0,0,0,0,0,1.685
2022-01-01 12:45:00,site_riverside,0.375,5.94,236.2,25.87,54.9,954.2,120196.0,normal,0,0,0,0,0,1.842
2022-01-01 13:00:00,site_riverside,0.403,5.89,276.7,25.23,58.2,954.5,117831.0,normal,0,0,0,0,0,2.0
2022-01-01 13:15:00,site_riverside,0.393,5.92,265.2,25.64,55.2,954.2,112988.0,normal,0,0,0,0,0,2.06
2022-01-01 13:30:00,site_riverside,0.402,5.92,204.0,24.84,58.1,954.7,107014.0,normal,0,0,0,0,0,2.12
2022-01-01 13:45:00,site_riverside,0.423,5.92,279.3,24.2,58.2,954.3,102344.0,normal,0,0,0,0,0,2.18
2022-01-01 14:00:00,site_riverside,0.427,5.92,217.1,24.87,53.9,954.8,97564.0,normal,0,0,0,0,0,2.24
2022-01-01 14:15:00,site_riverside,0.45,5.93,243.8,23.43,56.5,954.5,92459.0,normal,0,0,0,0,0,2.145
2022-01-01 14:30:00,site_riverside,0.435,6.0,179.0,23.21,58.0,955.0,87331.0,normal,0,0,0,0,0,2.05
2022-01-01 14:45:00,site_riverside,0.46,5.93,240.8,23.6,60.1,955.2,82972.0,warning,1,1,0,0,0,1.955
2022-01-01 15:00:00,site_riverside,0.428,5.93,241.4,22.1,62.1,954.8,78253.0,normal,0,0,0,0,0,1.86
2022-01-01 15:15:00,site_riverside,0.433,5.86,212.7,23.31,61.6,954.3,73601.0,normal,0,0,0,0,0,1.728
2022-01-01 15:30:00,site_riverside,0.45,5.95,183.0,22.07,67.5,954.8,68988.0,warning,1,1,0,0,0,1.595
2022-01-01 15:45:00,site_riverside,0.448,5.99,273.9,22.16,62.8,954.5,64273.0,normal,0,0,0,0,0,1.463
2022-01-01 16:00:00,site_riverside,0.444,6.05,247.3,20.41,63.8,955.1,59418.0,normal,0,0,0,0,0,1.33
2022-01-01 16:15:00,site_riverside,0.458,6.02,209.1,21.19,61.7,955.2,52657.0,warning,1,1,0,0,0,1.19
2022-01-01 16:30:00,site_riverside,0.418,5.92,234.6,21.5,60.7,955.1,46294.0,normal,0,0,0,0,0,1.05
2022-01-01 16:45:00,site_riverside,0.443,6.02,271.3,20.85,64.9,955.5,39205.0,normal,0,0,0,0,0,0.91
2022-01-01 17:00:00,site_riverside,0.454,5.88,206.9,19.76,65.2,956.0,32302.0,warning,1,1,0,0,0,0.77
2022-01-01 17:15:00,site_riverside,0.448,6.01,291.5,20.32,65.5,954.9,26797.0,normal,0,0,0,0,0,0.662
2022-01-01 17:30:00,site_riverside,0.441,5.88,300.4,18.91,63.5,956.8,21893.0,normal,0,0,0,0,0,0.555
2022-01-01 17:45:00,site_riverside,0.434,5.97,193.3,18.9,71.1,956.5,16917.0,normal,0,0,0,0,0,0.448
2022-01-01 18:00:00,site_riverside,0.421,5.89,299.9,18.15,66.9,957.0,11773.0,normal,0,0,0,0,0,0.34
2022-01-01 18:15:00,site_riverside,0.432,5.96,240.8,18.07,69.6,957.4,9003.0,normal,0,0,0,0,0,0.275
2022-01-01 18:30:00,site_riverside,0.444,5.9,221.4,16.54,75.0,956.8,5798.0,normal,0,0,0,0,0,0.21
2022-01-01 18:45:00,site_riverside,0.423,5.92,258.4,16.51,75.2,956.8,3046.0,normal,0,0,0,0,0,0.145
2022-01-01 19:00:00,site_riverside,0.458,6.0,229.2,15.12,83.4,956.9,24.0,warning,1,1,0,0,0,0.08
2022-01-01 19:15:00,site_riverside,0.429,5.94,225.9,15.49,83.2,957.9,112.0,normal,0,0,0,0,0,0.072
2022-01-01 19:30:00,site_riverside,0.438,5.84,269.4,15.4,87.1,957.9,0.0,normal,0,0,0,0,0,0.065
2022-01-01 19:45:00,site_riverside,0.452,5.97,212.2,14.62,90.7,958.3,0.0,warning,1,1,0,0,0,0.058
2022-01-01 20:00:00,site_riverside,0.441,5.92,216.4,14.55,89.3,959.2,246.0,normal,0,0,0,0,0,0.05
2022-01-01 20:15:00,site_riverside,0.452,5.91,206.1,14.69,88.5,957.6,0.0,warning,1,1,0,0,0,0.075
2022-01-01 20:30:00,site_riverside,0.438,5.95,210.8,13.85,91.1,959.5,452.0,normal,0,0,0,0,0,0.1
2022-01-01 20:45:00,site_riverside,0.437,6.01,286.0,13.81,88.7,958.9,153.0,normal,0,0,0,0,0,0.125
2022-01-01 21:00:00,site_riverside,0.423,6.06,216.5,12.69,93.2,959.4,0.0,normal,0,0,0,0,0,0.15
2022-01-01 21:15:00,site_riverside,0.432,6.0,309.4,13.34,95.4,959.0,411.0,normal,0,0,0,0,0,0.23
2022-01-01 21:30:00,site_riverside,0.445,5.97,256.2,13.19,95.1,958.7,306.0,normal,0,0,0,0,0,0.31
