timestamp,site_id,ambient_temperature_c,gate_open_event,fence_breach_event,vibration_level,status,alert_triggered,alert_gate_night,alert_fence_breach
2022-01-01 00:00:00,infrastructure_gate,14.09,0,0,0.008,normal,0,0,0
2022-01-01 00:15:00,infrastructure_gate,15.73,0,0,0.024,normal,0,0,0
2022-01-01 00:30:00,infrastructure_gate,15.53,0,0,0.07,normal,0,0,0
2022-01-01 00:45:00,infrastructure_gate,15.76,0,0,0.06,normal,0,0,0
2022-01-01 01:00:00,infrastructure_gate,16.14,0,0,0.009,normal,0,0,0
2022-01-01 01:15:00,infrastructure_gate,16.25,0,0,0.021,normal,0,0,0
2022-01-01 01:30:00,infrastructure_gate,14.91,0,0,0.085,normal,0,0,0
2022-01-01 01:45:00,infrastructure_gate,13.35,0,0,0.074,normal,0,0,0
2022-01-01 02:00:00,infrastructure_gate,13.69,0,0,0.123,normal,0,0,0
2022-01-01 02:15:00,infrastructure_gate,14.36,0,0,0.104,normal,0,0,0
2022-01-01 02:30:00,infrastructure_gate,14.42,0,0,0.042,normal,0,0,0
2022-01-01 02:45:00,infrastructure_gate,13.39,0,0,0.014,normal,0,0,0
2022-01-01 03:00:00,infrastructure_gate,14.22,0,0,0.073,normal,0,0,0
2022-01-01 03:15:00,infrastructure_gate,12.96,0,0,0.008,normal,0,0,0
2022-01-01 03:30:00,infrastructure_gate,12.71,0,0,0.106,normal,0,0,0
2022-01-01 03:45:00,infrastructure_gate,15.05,0,0,0.257,normal,0,0,0
2022-01-01 04:00:00,infrastructure_gate,14.05,0,0,0.026,normal,0,0,0
2022-01-01 04:15:00,infrastructure_gate,13.38,0,0,0.06,normal,0,0,0
2022-01-01 04:30:00,infrastructure_gate,14.89,0,0,0.048,normal,0,0,0
2022-01-01 04:45:00,infrastructure_gate,13.53,0,0,0.198,normal,0,0,0
2022-01-01 05:00:00,infrastructure_gate,15.34,0,0,0.012,normal,0,0,0
2022-01-01 05:15:00,infrastructure_gate,14.42,0,0,0.004,normal,0,0,0
2022-01-01 05:30:00,infrastructure_gate,15.87,0,0,0.208,normal,0,0,0
2022-01-01 05:45:00,infrastructure_gate,18.54,0,0,0.027,normal,0,0,0
2022-01-01 06:00:00,infrastructure_gate,17.3,0,0,0.142,normal,0,0,0
2022-01-01 06:15:00,infrastructure_gate,18.8,0,0,0.123,normal,0,0,0
2022-01-01 06:30:00,infrastructure_gate,18.36,0,0,0.069,normal,0,0,0
2022-01-01 06:45:00,infrastructure_gate,19.74,0,0,0.069,normal,0,0,0
2022-01-01 07:00:00,infrastructure_gate,20.83,0,0,0.08,normal,0,0,0
2022-01-01 07:15:00,infrastructure_gate,20.27,0,0,0.027,normal,0,0,0
2022-01-01 07:30:00,infrastructure_gate,20.15,0,0,0.222,normal,0,0,0
2022-01-01 07:45:00,infrastructure_gate,22.93,0,0,0.039,normal,0,0,0
2022-01-01 08:00:00,infrastructure_gate,21.78,0,0,0.186,normal,0,0,0
2022-01-01 08:15:00,infrastructure_gate,22.26,0,0,0.141,normal,0,0,0
2022-01-01 08:30:00,infrastructure_gate,22.1,0,0,0.02,normal,0,0,0
2022-01-01 08:45:00,infrastructure_gate,22.53,0,0,0.169,normal,0,0,0
2022-01-01 09:00:00,infrastructure_gate,23.66,0,0,0.073,normal,0,0,0
2022-01-01 09:15:00,infrastructure_gate,24.98,0,0,0.036,normal,0,0,0
2022-01-01 09:30:00,infrastructure_gate,22.86,0,0,0.036,normal,0,0,0
2022-01-01 09:45:00,infrastructure_gate,25.91,0,0,0.039,normal,0,0,0
2022-01-01 10:00:00,infrastructure_gate,25.48,0,0,0.087,normal,0,0,0
2022-01-01 10:15:00,infrastructure_gate,24.01,0,0,0.293,normal,0,0,0
2022-01-01 10:30:00,infrastructure_gate,24.78,0,0,0.093,normal,0,0,0
2022-01-01 10:45:00,infrastructure_gate,23.63,0,0,0.04,normal,0,0,0
2022-01-01 11:00:00,infrastructure_gate,24.71,0,0,0.143,normal,0,0,0
2022-01-01 11:15:00,infrastructure_gate,26.4,0,0,0.052,normal,0,0,0
2022-01-01 11:30:00,infrastructure_gate,25.83,0,0,0.165,normal,0,0,0
2022-01-01 11:45:00,infrastructure_gate,25.28,0,0,0.062,normal,0,0,0
2022-01-01 12:00:00,infrastructure_gate,26.53,0,0,0.05,normal,0,0,0
2022-01-01 12:15:00,infrastructure_gate,24.39,0,0,0.014,normal,0,0,0
2022-01-01 12:30:00,infrastructure_gate,24.84,0,0,0.335,normal,0,0,0
2022-01-01 12:45:00,infrastructure_gate,24.54,0,0,0.075,normal,0,0,0
2022-01-01 13:00:00,infrastructure_gate,24.56,0,0,0.012,normal,0,0,0
2022-01-01 13:15:00,infrastructure_gate,25.58,0,0,0.0,normal,0,0,0
2022-01-01 13:30:00,infrastructure_gate,24.4,0,0,0.011,normal,0,0,0
2022-01-01 13:45:00,infrastructure_gate,25.11,0,0,0.103,normal,0,0,0
2022-01-01 14:00:00,infrastructure_gate,24.44,0,0,0.057,normal,0,0,0
2022-01-01 14:15:00,infrastructure_gate,25.52,0,0,0.029,normal,0,0,0
2022-01-01 14:30:00,infrastructure_gate,22.56,0,0,0.14,normal,0,0,0
2022-01-01 14:45:00,infrastructure_gate,22.75,0,0,0.059,normal,0,0,0
2022-01-01 15:00:00,infrastructure_gate,23.78,0,0,0.024,normal,0,0,0
2022-01-01 15:15:00,infrastructure_gate,22.63,0,0,0.068,normal,0,0,0
2022-01-01 15:30:00,infrastructure_gate,23.72,0,0,0.119,normal,0,0,0
2022-01-01 15:45:00,infrastructure_gate,22.19,0,0,0.189,normal,0,0,0
2022-01-01 16:00:00,infrastructure_gate,20.64,0,0,0.086,normal,0,0,0
2022-01-01 16:15:00,infrastructure_gate,21.93,0,0,0.009,normal,0,0,0
2022-01-01 16:30:00,infrastructure_gate,22.14,0,0,0.144,normal,0,0,0
2022-01-01 16:45:00,infrastructure_gate,19.49,0,0,0.167,normal,0,0,0
2022-01-01 17:00:00,infrastructure_gate,20.27,0,0,0.093,normal,0,0,0
2022-01-01 17:15:00,infrastructure_gate,19.68,0,0,0.017,normal,0,0,0
2022-01-01 17:30:00,infrastructure_gate,19.4,0,0,0.083,normal,0,0,0
2022-01-01 17:45:00,infrastructure_gate,18.29,0,0,0.312,normal,0,0,0
2022-01-01 18:00:00,infrastructure_gate,17.8,0,0,0.066,normal,0,0,0
