timestamp,site_id,motion_detected,door_open,vibration_level,smoke_ppm,sound_db,light_lux,flame_detected,panic_triggered,status,alert_triggered,alert_intrusion,alert_fire,alert_distress,alert_motion_night,alert_smoke,wx_temp_c
2022-01-01 00:00:00,node_perimeter,0,0,0.037,9.2,33.1,5.0,0,0,normal,0,0,0,0,0,0,15.09
2022-01-01 00:15:00,node_perimeter,0,0,0.108,18.4,35.1,5.0,0,0,normal,0,0,0,0,0,0,15.0
2022-01-01 00:30:00,node_perimeter,0,0,0.298,0.9,53.7,1.0,0,0,normal,0,0,0,0,0,0,14.9
2022-01-01 00:45:00,node_perimeter,0,0,0.239,0.0,51.4,4.0,0,0,normal,0,0,0,0,0,0,14.8
2022-01-01 01:00:00,node_perimeter,0,0,0.078,17.8,59.2,3.0,0,0,normal,0,0,0,0,0,0,14.71
2022-01-01 01:15:00,node_perimeter,0,0,0.221,3.3,46.9,4.0,0,0,normal,0,0,0,0,0,0,14.6
2022-01-01 01:30:00,node_perimeter,0,0,0.062,7.2,33.7,2.0,0,0,normal,0,0,0,0,0,0,14.49
2022-01-01 01:45:00,node_perimeter,0,0,0.045,0.0,56.6,1.0,0,0,normal,0,0,0,0,0,0,14.38
2022-01-01 02:00:00,node_perimeter,0,0,0.189,9.8,42.5,0.0,0,0,normal,0,0,0,0,0,0,14.27
2022-01-01 02:15:00,node_perimeter,0,0,0.139,9.5,41.6,4.0,0,0,normal,0,0,0,0,0,0,14.19
2022-01-01 02:30:00,node_perimeter,0,0,0.153,9.6,38.8,2.0,0,0,normal,0,0,0,0,0,0,14.1
2022-01-01 02:45:00,node_perimeter,0,0,0.217,21.6,38.3,4.0,0,0,normal,0,0,0,0,0,0,14.02
2022-01-01 03:00:00,node_perimeter,0,0,0.007,10.4,42.7,4.0,0,0,normal,0,0,0,0,0,0,13.94
2022-01-01 03:15:00,node_perimeter,0,0,0.134,5.9,45.2,3.0,0,0,normal,0,0,0,0,0,0,13.97
2022-01-01 03:30:00,node_perimeter,0,0,0.091,7.7,52.8,4.0,0,0,normal,0,0,0,0,0,0,14.0
2022-01-01 03:45:00,node_perimeter,0,0,0.184,20.7,58.5,1.0,0,0,normal,0,0,0,0,0,0,14.03
2022-01-01 04:00:00,node_perimeter,0,0,0.198,26.7,58.9,3.0,0,0,normal,0,0,0,0,0,0,14.06
2022-01-01 04:15:00,node_perimeter,0,0,0.06,9.0,46.9,1179.0,0,0,normal,0,0,0,0,0,0,14.3
2022-01-01 04:30:00,node_perimeter,0,0,0.038,10.3,65.2,2156.0,0,0,normal,0,0,0,0,0,0,14.54
2022-01-01 04:45:00,node_perimeter,0,0,0.005,15.0,53.1,2732.0,0,0,normal,0,0,0,0,0,0,14.78
2022-01-01 05:00:00,node_perimeter,0,0,0.089,15.9,55.9,4755.0,0,0,normal,0,0,0,0,0,0,15.02
2022-01-01 05:15:00,node_perimeter,0,0,0.093,12.3,61.4,9374.0,0,0,normal,0,0,0,0,0,0,15.64
2022-01-01 05:30:00,node_perimeter,0,0,0.037,4.5,65.4,13518.0,0,0,normal,0,0,0,0,0,0,16.27
2022-01-01 05:45:00,node_perimeter,0,0,0.005,1.4,36.9,20292.0,0,0,normal,0,0,0,0,0,0,16.9
2022-01-01 06:00:00,node_perimeter,0,0,0.06,7.8,53.1,26043.0,0,0,normal,0,0,0,0,0,0,17.52
2022-01-01 06:15:00,node_perimeter,0,0,0.08,11.4,21.5,31929.0,0,0,normal,0,0,0,0,0,0,18.17
2022-01-01 06:30:00,node_perimeter,0,0,0.132,15.1,37.0,38675.0,0,0,normal,0,0,0,0,0,0,18.82
2022-01-01 06:45:00,node_perimeter,0,0,0.005,18.8,28.6,44473.0,0,0,normal,0,0,0,0,0,0,19.47
2022-01-01 07:00:00,node_perimeter,0,0,0.069,31.9,69.4,51047.0,0,0,normal,0,0,0,0,0,0,20.12
2022-01-01 07:15:00,node_perimeter,0,0,0.059,21.8,72.4,58953.0,0,0,normal,0,0,0,0,0,0,20.6
2022-01-01 07:30:00,node_perimeter,0,0,0.069,106.5,60.0,64177.0,0,0,warning,1,0,0,0,0,1,21.08
2022-01-01 07:45:00,node_perimeter,0,0,0.022,44.5,50.0,69803.0,0,0,warning,1,0,0,0,0,1,21.57
2022-01-01 08:00:00,node_perimeter,0,0,0.197,52.3,58.7,77163.0,0,0,warning,1,0,0,0,0,1,22.05
2022-01-01 08:15:00,node_perimeter,0,0,0.11,63.1,57.6,82127.0,0,0,warning,1,0,0,0,0,1,22.32
2022-01-01 08:30:00,node_perimeter,0,0,0.013,132.8,55.0,88773.0,0,0,warning,1,0,0,0,0,1,22.58
2022-01-01 08:45:00,node_perimeter,0,0,0.105,42.3,57.3,94592.0,0,0,warning,1,0,0,0,0,1,22.84
2022-01-01 09:00:00,node_perimeter,0,0,0.102,76.9,65.1,100249.0,0,0,warning,1,0,0,0,0,1,23.11
2022-01-01 09:15:00,node_perimeter,0,0,0.069,63.2,68.2,104246.0,0,0,warning,1,0,0,0,0,1,23.44
2022-01-01 09:30:00,node_perimeter,0,0,0.07,110.0,62.2,108632.0,0,0,warning,1,0,0,0,0,1,23.76
2022-01-01 09:45:00,node_perimeter,0,0,0.043,57.7,77.6,112218.0,0,0,warning,1,0,0,0,0,1,24.08
2022-01-01 10:00:00,node_perimeter,0,0,0.059,8.0,53.0,117312.0,0,0,normal,0,0,0,0,0,0,24.41
2022-01-01 10:15:00,node_perimeter,0,0,0.193,15.0,46.2,120054.0,0,0,normal,0,0,0,0,0,0,24.64
2022-01-01 10:30:00,node_perimeter,0,0,0.276,8.9,67.8,122284.0,0,0,normal,0,0,0,0,0,0,24.86
2022-01-01 10:45:00,node_perimeter,0,0,0.128,5.0,53.3,123448.0,0,0,normal,0,0,0,0,0,0,25.09
2022-01-01 11:00:00,node_perimeter,0,0,0.19,7.1,59.2,126726.0,0,0,normal,0,0,0,0,0,0,25.32
2022-01-01 11:15:00,node_perimeter,0,0,0.029,12.8,53.5,126561.0,0,0,normal,0,0,0,0,0,0,25.42
2022-01-01 11:30:00,node_perimeter,0,0,0.002,11.0,47.0,127392.0,0,0,normal,0,0,0,0,0,0,25.52
2022-01-01 11:45:00,node_perimeter,0,0,0.061,5.7,49.8,127924.0,0,0,normal,0,0,0,0,0,0,25.62
2022-01-01 12:00:00,node_perimeter,0,0,0.316,19.0,,129060.0,0,0,normal,0,0,0,0,0,0,25.72
